sentence,label
"Proszę państwa, krótka piłka, pytanie do pana i pytanie do naszych słuchaczy, czy Polska powinna wycofać się z Zielonego Ładu, tak czy nie?",NF
Dlaczego spółka CPK nie złożyła do tej pory dwóch istotnych wniosków o dofinansowanie z programu CEF na odcinek kolei Łódź Warszawa oraz na węzeł kolejowy.,FR
Sporo widzę zastrzeżeń do działań nowego rządu.,NF
"Wszystko wskazuje na to, że eurokraci jadą walcem i swoimi regulacjami stawiają w uprzywilejowanej pozycji wielkie międzynarodowe agroholdingi.",FNR
"Ale czemu na przykład nie powiemy o dobrach jeszcze bardziej podstawowych, jak na przykład żywność, która jest towarem?",NF
Jakie stanowisko prezentuje państwa komitet?,NF
"A dziś się mówi o tym, że zboże zostaje w Polsce, że z Litwy z powrotem wraca.",FNR
Musielibyśmy znaleźć jakiś dodatkowy miliard złotych w budżecie Warszawy.,FNR
"To trzeba zatrzymać używając siły tak jak robi to Australia – straż graniczna ma tam prawo używać siły, żeby zawrócić łodzie.",FR
"DONALD TUSK, KOALICJA OBYWATELSKA: Tak się zastanawiam, Mateusz, co się stało.",NF
To jest daleko posunięta ta szczerość.,NF
Pakt zakłada uznaniowe i czasowe zwolnienie państw z opłaty i przyjęcia migrantów.,FR
"Ja akurat mieszkam na Bemowie i przez wiele lat, ze świętej pamięci panią radną Olgą Johan, radną Prawa i Sprawiedliwości, pracowaliśmy nad tym, że w naszej okolicy było za dużo takich sklepów i w pewnym momencie udało się ograniczyć liczbę tych sklepów, niekoniecznie wprowadzając prohibicję.",FNR
"Pamiętacie państwo sytuację, kiedyś była taka, chyba 2 lata temu.",NF
"Sławomir Mensen, lider Konfederacji, jest moim gościem.",NF
"Mówię nawet również o opozycji, o dzisiejszą koalicję, zawsze był to prawnik.",NF
Pakiet unijny zmuszający Polskę do przyjmowania nielegalnych imigrantów należy odrzucić.,FR
"Wiele małżeństw, które łączy kredyt hipoteczny na mieszkanie.",NF
"Mamy też tutaj przystawki tych partii, które nie są prawdziwą alternatywą.",FR
"Nasi poprzednicy krytykowali rząd PO-PSL, rządzący do 2015 r., za długie kolejki do lekarzy.",FNR
"Tak nawet jeśli prywatni właściciele wymieniać się będą wolniej, ale tych dni, w których powietrze jest zagrażające zdrowiu, jest coraz mniej we Wrocławiu właśnie przez to, że mieliśmy też szczęśliwą zimę pod tym kątem, bo było dużo wiatrów, dużo opadów.",FR
Równie dobrze można dyskutować o jakości elektrycznych aut Izera.,NF
"Jeżeli chcecie polityki wolnej od kłótni, od tego przezywania siebie nawzajem, głosujcie na lewicę, Jeżeli chcecie Polski dla wszystkich, żebyśmy wszyscy czuli się w niej dobrze, głosujcie na lewicę.",NF
